Correct,Wrong,Tie,Percent,week
7,9,0,0.4375,1
6,10,0,0.375,1
8,8,0,0.5,1
9,7,0,0.5625,1
7,9,0,0.4375,1
9,7,0,0.5625,1
10,6,0,0.625,1
11,5,0,0.6875,1
10,6,0,0.625,2
7,9,0,0.4375,2
11,5,0,0.6875,2
11,5,0,0.6875,2
9,7,0,0.5625,2
9,7,0,0.5625,2
9,7,0,0.5625,2
8,8,0,0.5,2
7,9,0,0.4375,3
6,10,0,0.375,3
8,8,0,0.5,3
8,8,0,0.5,3
4,12,0,0.25,3
6,10,0,0.375,3
9,7,0,0.5625,3
8,8,0,0.5,3
9,7,0,0.5625,4
10,6,0,0.625,4
5,11,0,0.3125,4
13,3,0,0.8125,4
12,4,0,0.75,4
9,7,0,0.5625,4
10,6,0,0.625,4
11,5,0,0.6875,4
10,6,0,0.625,5
10,6,0,0.625,5
9,7,0,0.5625,5
10,6,0,0.625,5
10,6,0,0.625,5
12,4,0,0.75,5
10,6,0,0.625,5
10,6,0,0.625,5
7,7,0,0.5,6
7,7,0,0.5,6
6,8,0,0.42857142857142855,6
5,9,0,0.35714285714285715,6
6,8,0,0.42857142857142855,6
7,7,0,0.5,6
7,7,0,0.5,6
10,4,0,0.7142857142857143,6
7,7,0,0.5,7
9,4,0,0.6923076923076923,7
7,7,0,0.5,7
9,5,0,0.6428571428571429,7
9,5,0,0.6428571428571429,7
8,6,0,0.5714285714285714,7
10,4,0,0.7142857142857143,7
10,4,0,0.7142857142857143,7
11,4,0,0.7333333333333333,8
9,6,0,0.6,8
12,3,0,0.8,8
12,3,0,0.8,8
10,5,0,0.6666666666666666,8
13,2,0,0.8666666666666667,8
12,3,0,0.8,8
12,3,0,0.8,8
9,4,0,0.6923076923076923,9
7,6,0,0.5384615384615384,9
10,3,0,0.7692307692307693,9
9,4,0,0.6923076923076923,9
11,2,0,0.8461538461538461,9
8,5,0,0.6153846153846154,9
8,5,0,0.6153846153846154,9
10,3,0,0.7692307692307693,9
7,7,0,0.5,10
7,7,0,0.5,10
9,5,0,0.6428571428571429,10
6,8,0,0.42857142857142855,10
8,6,0,0.5714285714285714,10
5,9,0,0.35714285714285715,10
8,6,0,0.5714285714285714,10
6,8,0,0.42857142857142855,10
11,3,0,0.7857142857142857,11
9,5,0,0.6428571428571429,11
9,5,0,0.6428571428571429,11
10,4,0,0.7142857142857143,11
10,4,0,0.7142857142857143,11
10,4,0,0.7142857142857143,11
11,3,0,0.7857142857142857,11
11,3,0,0.7857142857142857,11
